N„–  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |     spec. type      |#bib |#not
1056|* eta Cyg                          |*  |19 56 18.3722223 +35 05 00.322759      | 5.800| 4.910| 3.880| 3.19 | 2.66 |K0III                | 269 |   0
1057|* ksi Gem                          |PM*|06 45 17.3643205 +12 53 44.131127      | 3.85 | 3.79 | 3.36 | 2.97 | 2.74 |F5IV-V               | 201 |   0
1058|* u Her                            |Al*|17 17 19.5678683696 +33 06 00.364519597| 3.87 | 4.63 | 4.80 |     ~|     ~|B2V                  | 230 |   1
1059|* w Vel                            |SB*|09 00 05.4090531 -41 15 12.978920      |     ~| 5.088| 4.446|     ~|     ~|G8/K1III+A           |  46 |   0
1060|* 15 Ori                           |** |05 09 41.9648107640 +15 35 49.905106197| 5.33 | 5.14 | 4.82 | 4.50 | 4.31 |F2IV                 | 103 |   0
1061|* ome Cap                          |V* |20 51 49.2909479855 -26 55 08.891176687| 7.66 | 5.75 | 4.12 | 2.87 | 1.93 |M0IIIBa0.5           |  94 |   0
1062|* i Vel                            |*  |11 00 09.2642360 -42 13 33.092396      | 4.62 | 4.50 | 4.39 | 4.26 | 4.19 |A3V                  |  80 |   0
1063|HD 56456                           |*  |07 14 38.1406186 -48 16 18.942036      | 4.37 | 4.66 | 4.76 | 4.77 | 4.85 |B8/9V                |  44 |   0
1064|* zet01 Lyr                        |SB*|18 44 46.3573535 +37 36 18.417053      | 4.71 | 4.55 | 4.36 | 4.21 | 4.13 |kA5hF0VmF3           | 185 |   0
1065|* alf Pic                          |PM*|06 48 11.45512 -61 56 29.0008          |     ~| 3.48 | 3.30 |     ~|     ~|A8VnkA6              | 160 |   0
1066|* del UMi                          |PM*|17 32 12.9967087 +86 35 11.258377      |     ~| 4.367| 4.336|     ~|     ~|A1Van                |  96 |   0
1067|* del Ara                          |PM*|17 31 05.9127207 -60 41 01.852144      | 3.21 | 3.52 | 3.62 |     ~|     ~|B8Vn                 |  84 |   0
1068|* alf Cep                          |PM*|21 18 34.77233 +62 35 08.0681          | 2.770| 2.680| 2.460| 2.22 | 2.11 |A8Vn                 | 341 |   0
1069|* 21 Lyn                           |PM*|07 26 42.8518693 +49 12 41.490677      |     ~| 4.594| 4.610|     ~|     ~|A0.5Vs               | 101 |   0
1070|* alf Tri                          |SB*|01 53 04.9070960 +29 34 43.780094      | 3.96 | 3.90 | 3.42 | 3.00 | 2.72 |F5III                | 272 |   0
1071|* g Eri                            |PM*|03 49 27.2452787 -36 12 00.904040      | 5.80 | 5.12 | 4.17 | 3.46 | 2.96 |G7III                |  66 |   0
1072|* mu.01 Lup                        |*  |15 18 32.028034 -47 52 31.05151        |     ~| 4.837| 4.945|     ~|     ~|B7V                  |   3 |   0
1073|* tau06 Eri                        |PM*|03 46 50.8881911 -23 14 59.004585      |     ~| 4.65 | 4.20 |     ~|     ~|F5IV-V               | 173 |   0
1074|* 113 Her                          |SB*|18 54 44.8822641868 +22 38 42.278040695| 5.88 | 5.38 | 4.60 | 3.96 | 3.50 |G8III+:+A0.5         |  89 |   0
1075|* 6 Lac                            |SB*|22 30 29.2600453 +43 07 24.156435      | 3.68 | 4.400| 4.511|     ~|     ~|B2IV                 | 148 |   0
1076|* pi.02 Ori                        |*  |04 50 36.7229825 +08 54 00.649333      | 4.39 | 4.36 | 4.35 | 4.29 | 4.29 |A1Vn                 | 163 |   0
1077|V* V424 Lac                        |LP*|22 56 25.9984806807 +49 44 00.751810487| 8.66 | 6.71 | 4.94 | 3.59 | 2.54 |K5Ib                 | 142 |   0
1078|* pi. Leo                          |V* |10 00 12.8058902 +08 02 39.203224      | 8.22 | 6.30 | 4.70 | 3.27 | 2.19 |M2-III               | 138 |   0
1079|* G Hya                            |PM*|09 27 18.4325786981 -22 20 37.496695014|     ~| 5.83 | 4.69 |     ~|     ~|K2+IIIb              |  55 |   0
1080|* psi Peg                          |** |23 57 45.5268071 +25 08 29.047968      | 7.91 | 6.25 | 4.66 | 3.20 | 1.86 |M3III                | 118 |   0
1081|* tet Cha                          |PM*|08 20 38.5405496 -77 29 04.117261      |     ~| 5.504| 4.337|     ~|     ~|K2IIIbCN0.5          |  42 |   0
1082|* 1 Aur                            |PM*|04 49 54.6394565 +37 29 17.793572      |     ~| 6.312| 4.867|     ~|     ~|K3+III               |  92 |   0
1083|* phi Eri                          |PM*|02 16 30.5856318 -51 30 43.795513      | 3.06 | 3.45 | 3.57 | 3.64 | 3.75 |B8IV                 | 135 |   0
1084|* zet Ori B                        |*  |05 40 45.571207 -01 56 35.58704        |     ~| 3.55 | 3.73 |     ~|     ~|O9.5II-III(n)        | 166 |   0
1085|Cl Collinder 399                   |Cl*|19 25 24.0 +20 11 00                   |     ~| 3.93 | 3.6  |     ~|     ~|~                    |  20 |   0
1086|* 15 Dra                           |*  |16 27 59.0160285398 +68 46 05.305188356| 4.84 | 4.906| 4.949|     ~|     ~|B9.5IV               |  82 |   0
1087|* gam TrA                          |PM*|15 18 54.5819834 -68 40 46.365362      | 2.87 | 2.89 | 2.89 |     ~|     ~|A1V                  | 120 |   0
1088|* chi UMa                          |PM*|11 46 03.0140741 +47 46 45.862653      | 6.06 | 4.90 | 3.72 | 2.84 | 2.24 |K0.5IIIb:            | 201 |   0
1089|* lam Cyg A                        |** |20 47 24.5245258510 +36 29 26.552075010|     ~| 4.63 | 4.76 |     ~|     ~|~                    |   7 |   0
1090|* pi. Pup                          |LP*|07 17 08.55678 -37 05 50.8962          | 5.57 | 4.32 | 2.70 | 1.46 | 0.55 |K4III                | 102 |   0
1091|V* V399 Car                        |Ce*|10 27 24.4689104255 -57 38 19.691371729| 5.29 | 5.18 | 4.70 | 4.10 | 3.62 |A9/F0Ia/ab           | 128 |   0
1092|* eps Cir                          |*  |15 17 38.8898345911 -63 36 37.673399577|     ~| 6.101| 4.849|     ~|     ~|K2III                |  21 |   0
1093|* gam Tau                          |** |04 19 47.6038491 +15 37 39.515422      | 5.46 | 4.64 | 3.65 | 4.83 |     ~|G9.5IIIabCN0.5       | 517 |   0
1094|* iot Tau                          |** |05 03 05.7455626893 +21 35 23.865671091|     ~| 4.797| 4.615|     ~|     ~|A7V                  | 154 |   0
1095|* 7 Cam                            |SB*|04 57 17.1960924 +53 45 07.565405      |     ~| 4.416| 4.433|     ~| 4.39 |A1V                  |  97 |   0
1096|* eta Oph A                        |PM*|17 10 22.664064 -15 43 30.51408        |     ~| 2.564| 2.463|     ~|     ~|A2(V)                |  13 |   0
1097|V* VV Cep                          |Al*|21 56 39.1438495 +63 37 32.017439      | 7.03 | 6.65 | 4.90 | 3.19 | 1.85 |M2epIa-Iab+B8:eV     | 426 |   1
1098|* iot Aur                          |V* |04 56 59.6210887 +33 09 57.958479      | 6.00 | 4.22 | 2.69 | 1.63 | 0.81 |K3II-III             | 263 |   0
1099|* M Cen                            |SB*|13 46 39.3777663 -51 25 57.953282      |     ~| 5.586| 4.632|     ~|     ~|G8/K0III             |  30 |   0
1100|* sig Lup                          |El*|14 32 37.0566690 -50 27 25.774609      | 3.39 | 4.240| 4.423|     ~|     ~|B1/B2V               | 105 |   0
1101|* del Ind                          |** |21 57 55.0735349 -54 59 33.274025      |     ~| 4.68 | 4.40 |     ~|     ~|F0IV                 |  61 |   0
1102|* zet Lep                          |*  |05 46 57.3409587 -14 49 19.019943      |     ~| 3.637| 3.525|     ~|     ~|A2IV-V(n)            | 280 |   0
1103|* eta Ori A                        |SB*|05 24 28.7310201583 -02 23 49.311454080|     ~| 3.417| 3.594|     ~|     ~|B1V                  |   8 |   0
1104|* bet Col                          |PM*|05 50 57.5921991 -35 46 05.915211      | 5.49 | 4.28 | 3.12 | 2.27 | 1.69 |K1III_CN+1           | 133 |   0
1105|HD 44131                           |V* |06 19 59.6005930 -02 56 40.176553      |     ~| 6.500| 4.899|     ~|     ~|K5III                |  58 |   0
1106|* d Ori                            |SB*|05 38 53.0833241719 -07 12 46.166724645| 5.04 | 4.93 | 4.80 | 4.65 | 4.59 |A4Vn                 | 127 |   1
1107|* mu. Per                          |SB*|04 14 53.8625277 +48 24 33.591168      | 5.75 | 5.12 | 4.16 | 3.38 | 2.83 |G0Ib                 | 225 |   0
1108|* ksi Vir                          |PM*|11 45 17.0402717 +08 15 29.215015      |     ~| 5.003| 4.842|     ~| 4.67 |A4V                  |  86 |   0
1109|* 39 Ari                           |PM*|02 47 54.5414187 +29 14 49.613199      | 6.710| 5.630| 4.510| 3.72 | 3.14 |K0.5IIIb             | 154 |   0
1110|* zet01 Sco                        |s*b|16 53 59.7270104119 -42 21 43.313745214| 4.80 | 5.31 | 4.79 | 4.32 | 3.86 |B1Ia-0ek             | 348 |   0
1111|* bet Aql                          |PM*|19 55 18.7925630 +06 24 24.342501      | 5.040| 4.560| 3.710| 3.05 | 2.56 |G8IV                 | 514 |   0
1112|* lam Aql                          |PM*|19 06 14.9397099975 -04 52 57.231496924| 3.07 | 3.34 | 3.43 | 3.46 | 3.55 |B8.5V                | 207 |   0
1113|* ksi Tau                          |EB*|03 27 10.1384893130 +09 43 57.862146153| 3.33 | 3.66 | 3.75 | 3.76 | 3.85 |B9Vn                 | 178 |   0
1114|* tet Leo                          |PM*|11 14 14.4044630 +15 25 46.454086      | 3.40 | 3.33 | 3.35 | 3.32 | 3.34 |A2IV                 | 308 |   0
1115|* sig02 Tau                        |PM*|04 39 16.5023050 +15 55 04.702951      |     ~| 4.842| 4.665|     ~|     ~|A5Vn                 | 128 |   0
1116|* b Sgr                            |*  |19 56 56.8316470 -27 10 11.640936      |     ~| 5.980| 4.528|     ~|     ~|K2.5IIb              |  59 |   0
1117|* omi Col                          |PM*|05 17 29.0892938 -34 53 42.744408      | 6.62 | 5.83 | 4.83 | 4.09 | 3.54 |K1IV                 |  77 |   0
1118|* alf Mus                          |** |12 37 11.0178886 -69 08 08.033239      | 1.62 | 2.484| 2.649|     ~|     ~|B2IV                 | 140 |   0
1119|* c Vel                            |PM*|09 04 09.2798814 -47 05 51.854750      | 6.16 | 4.95 | 3.75 | 2.93 | 2.33 |K2III                |  57 |   0
1120|HD 143699                          |*  |16 03 24.1894502 -38 36 09.152751      | 4.18 | 4.75 | 4.89 | 4.96 | 5.10 |B5/7III/IV           | 127 |   0
1121|* del Leo                          |PM*|11 14 06.50142 +20 31 25.3853          | 2.79 | 2.68 | 2.53 | 2.44 | 2.41 |A5IV(n)              | 265 |   0
1122|* 48 Cas                           |SB*|02 01 57.45035 +70 54 25.2902          | 4.76 | 4.70 | 4.54 | 4.36 | 4.28 |A3Va                 | 153 |   0
1123|* 9 Hya                            |PM*|08 41 43.3359106113 -15 56 36.172672118|     ~| 5.918| 4.866|     ~|     ~|K0IIIb               |  68 |   0
1124|HD 20468                           |*  |03 18 43.8258349 +34 13 21.547357      | 7.86 | 6.31 | 4.82 | 3.75 | 2.99 |K2IIbCN0.5           |  94 |   0
1125|* ups Lib                          |** |15 37 01.4501996 -28 08 06.292648      |     ~| 4.979| 3.589|     ~|     ~|K3.5III              |  86 |   0
1126|* del Pic                          |bL*|06 10 17.9080767 -54 58 07.113429      | 3.55 | 4.58 | 4.81 |     ~|     ~|B1/2(III)n           | 147 |   0
1127|* lam Oph                          |** |16 30 54.82314 +01 59 02.1209          |     ~| 3.94 | 3.90 |     ~|     ~|A1IV                 | 163 |   0
